provincia,dedicacion,tipo_contrato,salario_bruto_ars,salario_neto_ars,sueldo_dolarizado,seniority,rol,anios_experiencia,modalidad,genero,tamanio_empresa,lenguajes,conformidad_ingresos,buscando_trabajo,lenguaje_principal,experiencia_bucket
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4950000.0,4950000.0,True,Senior,Infosec,7,100% remoto,Hombre Cis,De 201 a 500 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Santa Fe,Full-Time,Staff (planta permanente),4500000.0,3800000.0,True,Senior,Developer,9,100% remoto,Hombre Cis,De 201 a 500 personas,"Go, PHP, SQL",2,"No, pero escucho ofertas.",Go,6-10 años
Tucumán,Full-Time,Staff (planta permanente),4098000.0,3230000.0,True,Senior,QA / Tester,15,100% remoto,Hombre Cis,Más de 10000 personas,no aplica,2,"No, pero escucho ofertas.",no aplica,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,10000000.0,10000000.0,True,Senior,Data Scientist,6,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"C#, Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",C#,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),4250000.0,3000000.0,True,Senior,Manager / Director,9,Híbrido (presencial y remoto),Hombre Cis,De 5001 a 10000 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Buenos Aires,Full-Time,Contractor,6300000.0,6000000.0,True,Senior,Data Engineer,10,100% remoto,Hombre Cis,De 201 a 500 personas,Python,3,"Sí, estoy buscando activamente.",Python,6-10 años
Córdoba,Full-Time,Staff (planta permanente),5000000.0,3800000.0,True,Senior,Manager / Director,15,100% remoto,Hombre Cis,De 101 a 200 personas,Python,1,"No, pero escucho ofertas.",Python,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3780000.0,3030000.0,True,Senior,Data Scientist,8,100% remoto,Hombre Cis,De 501 a 1000 personas,"Bash/Shell, CSS, HTML, Javascript, Python, R",1,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Buenos Aires,Full-Time,Contractor,6000000.0,5700000.0,True,Senior,Developer,20,100% remoto,Hombre Cis,De 51 a 100 personas,".NET, C#, SQL, TypeScript",2,"Sí, estoy buscando activamente.",.NET,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6000000.0,4500000.0,True,Senior,Developer,14,100% remoto,Hombre Cis,De 201 a 500 personas,"Assembler, Bash/Shell, C, Groovy, Java, Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",Assembler,10+ años
Mendoza,Full-Time,Contractor,2850000.0,3110000.0,True,Semi-Senior,BI Analyst / Data Analyst,3,100% remoto,Hombre Cis,De 11  a 50  personas,"Python, SQL",3,"No, pero escucho ofertas.",Python,3-5 años
Buenos Aires,Full-Time,Contractor,3000000.0,2560000.0,True,Semi-Senior,QA / Tester,4,100% remoto,Mujer Cis,De 101 a 200 personas,"CSS, HTML, Javascript",3,"Sí, estoy buscando activamente.",CSS,3-5 años
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3700000.0,3000000.0,True,Senior,Developer,6,100% remoto,Hombre Cis,De 1001 a 2000 personas,Python,2,"No, pero escucho ofertas.",Python,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,7500000.0,7500000.0,True,Senior,Manager / Director,10,100% remoto,Hombre Cis,De 2 a 10 personas,"HTML, Python, SQL",3,"No, estoy muy conforme.",HTML,6-10 años
Tierra del Fuego,Full-Time,Staff (planta permanente),3600000.0,3100000.0,True,Senior,SysAdmin / DevOps / SRE,17,100% remoto,Hombre Cis,De 2001a 5000 personas,Python,1,"No, pero escucho ofertas.",Python,10+ años
Buenos Aires,Full-Time,Contractor,3750000.0,3750000.0,True,Semi-Senior,Developer,3,100% remoto,Mujer Cis,De 11  a 50  personas,"CSS, HTML, Javascript, Liquid",4,"No, estoy muy conforme.",CSS,3-5 años
Santa Fe,Full-Time,Staff (planta permanente),3424985.22,3212487.73,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 2 a 10 personas,"Bash/Shell, HTML, Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,10835000.0,10835000.0,True,Senior,SysAdmin / DevOps / SRE,8,100% remoto,Hombre Cis,Más de 10000 personas,Python,4,"No, pero escucho ofertas.",Python,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4333000.0,3300000.0,True,Senior,Developer,6,Híbrido (presencial y remoto),Prefiero no decir,Más de 10000 personas,"Go, Java, Python",4,"No, pero escucho ofertas.",Go,6-10 años
Buenos Aires,Full-Time,Contractor,6900963.0,6900963.0,True,Senior,Architect,8,100% remoto,Hombre Cis,De 51 a 100 personas,"HTML, Java, Javascript, PHP, Python",3,"No, pero escucho ofertas.",HTML,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),6750000.0,5600000.0,True,Senior,Developer,8,100% remoto,Mujer Cis,De 11  a 50  personas,"CSS, HTML, Javascript, SQL, TypeScript",4,"No, estoy muy conforme.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),12896000.0,8929000.0,True,Senior,Technical Leader,10,100% remoto,Mujer Cis,De 501 a 1000 personas,Java,3,"Sí, estoy buscando activamente.",Java,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,12000000.0,5300000.0,True,Senior,Technical Leader,10,100% remoto,Hombre Cis,De 201 a 500 personas,Python,3,"No, estoy muy conforme.",Python,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4600000.0,5700000.0,True,Senior,SysAdmin / DevOps / SRE,6,100% remoto,Hombre Cis,De 2001a 5000 personas,Python,4,"No, pero escucho ofertas.",Python,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,2300000.0,True,Semi-Senior,Data Engineer,3,Híbrido (presencial y remoto),Mujer Cis,De 501 a 1000 personas,Python,4,"No, estoy muy conforme.",Python,3-5 años
Santa Fe,Full-Time,Contractor,8800000.0,8800000.0,True,Senior,Technical Leader,11,100% remoto,Hombre Cis,De 2001a 5000 personas,"CSS, HTML, Javascript, TypeScript",2,"No, pero escucho ofertas.",CSS,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,4000000.0,True,Senior,Product Owner,16,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"Bash/Shell, CSS, Groovy, HTML, Javascript, PHP, Python, SQL, TypeScript",2,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),9000000.0,8500000.0,True,Senior,Technical Leader,8,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Bash/Shell, Python, Rust, SQL",3,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6500000.0,4900000.0,True,Senior,Developer,10,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"Javascript, Python, Ruby, SQL, TypeScript",2,"No, estoy muy conforme.",Javascript,6-10 años
Córdoba,Full-Time,Contractor,3223710.0,2900000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,3,100% remoto,Hombre Cis,De 201 a 500 personas,"Bash/Shell, Python, SQL",4,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2280000.0,1567000.0,True,Senior,Developer,6,100% remoto,Mujer Cis,De 1001 a 2000 personas,"CSS, HTML, Javascript",2,"No, pero escucho ofertas.",CSS,6-10 años
Santa Cruz,Full-Time,Staff (planta permanente),2000000.0,1500000.0,True,Senior,Networking,15,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,Ninguno de los anteriores,2,"No, estoy muy conforme.",Ninguno de los anteriores,10+ años
Mendoza,Full-Time,Contractor,11000000.0,11000000.0,True,Senior,Developer,16,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, Go, HTML, Javascript, TypeScript",3,"No, estoy muy conforme.",CSS,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4712500.0,4712500.0,True,Senior,Technical Leader,6,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, Python",2,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4900000.0,4900000.0,True,Senior,Technical Leader,6,100% remoto,Hombre Cis,De 11  a 50  personas,"CSS, HTML, Javascript, SQL, TypeScript",3,"No, pero escucho ofertas.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),5000000.0,5000000.0,True,Senior,Architect,16,100% remoto,Hombre Cis,De 201 a 500 personas,"Bash/Shell, CSS, HTML, Javascript, TypeScript",3,"Sí, estoy buscando activamente.",Bash/Shell,10+ años
Santa Fe,Full-Time,Contractor,4970000.0,4845750.0,True,Semi-Senior,Developer,5,100% remoto,Mujer Cis,De 51 a 100 personas,"HTML, Javascript, TypeScript",2,"No, pero escucho ofertas.",HTML,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,8000000.0,7500000.0,True,Senior,Architect,6,100% remoto,Hombre Cis,De 101 a 200 personas,Bash/Shell,2,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Buenos Aires,Full-Time,Contractor,3640000.0,3640000.0,True,Senior,Designer,6,Híbrido (presencial y remoto),Mujer Cis,De 11  a 50  personas,"HTML, Ruby",4,"No, pero escucho ofertas.",HTML,6-10 años
Buenos Aires,Full-Time,Contractor,5680000.0,5651800.0,True,Senior,QA / Tester,6,100% remoto,Hombre Cis,De 201 a 500 personas,"SQL, TypeScript",4,"No, pero escucho ofertas.",SQL,6-10 años
Chaco,Full-Time,Contractor,2640000.0,2300000.0,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"CSS, HTML, Javascript, PHP, SQL, TypeScript",2,"No, pero escucho ofertas.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3100000.0,2700000.0,True,Semi-Senior,Automation / RPA,5,Híbrido (presencial y remoto),Mujer Cis,De 1001 a 2000 personas,Python,3,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3575000.0,,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, Javascript, TypeScript",3,"No, pero escucho ofertas.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1330000.0,1200000.0,True,Semi-Senior,QA / Tester,4,100% remoto,Mujer Cis,De 1001 a 2000 personas,Ninguno de los anteriores,1,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,3600000.0,True,Senior,Technical Leader,20,100% remoto,Hombre Cis,De 5001 a 10000 personas,".NET, C#, HTML, TypeScript",2,"No, pero escucho ofertas.",.NET,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6000000.0,4500000.0,True,Senior,Developer,20,100% remoto,Hombre Cis,De 2001a 5000 personas,"Java, Scala",3,"No, pero escucho ofertas.",Java,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Participación societaria en una cooperativa,2200000.0,1900000.0,True,Senior,Developer,8,Híbrido (presencial y remoto),Hombre Cis,De 2 a 10 personas,"CSS, HTML, Javascript, SQL",2,"No, pero escucho ofertas.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1557703.0,1187467.0,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Mujer Cis,Más de 10000 personas,"HTML, Javascript, Apex",1,"No, pero escucho ofertas.",HTML,3-5 años
Córdoba,Full-Time,Staff (planta permanente),2090000.0,2090000.0,True,Senior,Manager / Director,14,100% remoto,Hombre Cis,De 11  a 50  personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Córdoba,Full-Time,Staff (planta permanente),11600000.0,5800000.0,True,Senior,Manager / Director,30,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,10+ años
