provincia,dedicacion,tipo_contrato,salario_bruto_ars,salario_neto_ars,sueldo_dolarizado,seniority,rol,anios_experiencia,modalidad,genero,tamanio_empresa,lenguajes,conformidad_ingresos,buscando_trabajo,lenguaje_principal,experiencia_bucket
Buenos Aires,Full-Time,Staff (planta permanente),2863428.0,2233895.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,Más de 10000 personas,".NET, C#, CSS, HTML, Javascript, SQL",2,"No, pero escucho ofertas.",.NET,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),2708822.0,2334320.61,True,Senior,SysAdmin / DevOps / SRE,8,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Bash/Shell, Javascript, Python",2,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Córdoba,Full-Time,Contractor,4600000.0,4200000.0,True,Senior,Data Scientist,6,100% remoto,Mujer Cis,De 501 a 1000 personas,"Python, SQL",3,"No, pero escucho ofertas.",Python,6-10 años
Buenos Aires,Full-Time,Contractor,5000000.0,4300000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 2 a 10 personas,"HTML, Javascript, SQL, TypeScript",2,"Sí, estoy buscando activamente.",HTML,3-5 años
Corrientes,Full-Time,Contractor,7500000.0,6000000.0,True,Senior,Data Engineer,10,100% remoto,Hombre Cis,De 201 a 500 personas,"Python, SQL",4,"No, estoy muy conforme.",Python,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5500000.0,4800000.0,True,Senior,Data Engineer,8,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,"Bash/Shell, Python",3,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3400000.0,3000000.0,True,Senior,Data Engineer,6,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Python, Rust",1,"No, pero escucho ofertas.",Python,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,3200000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 201 a 500 personas,"Javascript, Python, SQL",4,"No, pero escucho ofertas.",Javascript,3-5 años
Santa Fe,Full-Time,Staff (planta permanente),5000000.0,,True,Senior,Developer,15,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,"CSS, HTML, Javascript",3,"Sí, estoy buscando activamente.",CSS,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4368524.0,3457119.0,True,Semi-Senior,analista de i+d,5,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"C++, HTML, Java, Javascript, Python, SQL, TypeScript",4,"No, estoy muy conforme.",C++,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,,True,Semi-Senior,Data Scientist,4,100% remoto,Mujer Cis,De 2001a 5000 personas,Python,2,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3600000.0,2950000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 101 a 200 personas,"Javascript, TypeScript",4,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,12479833.0,12479833.0,True,Senior,Data Scientist,13,100% remoto,Hombre Cis,De 201 a 500 personas,"Python, SQL",4,"No, pero escucho ofertas.",Python,10+ años
Córdoba,Full-Time,Contractor,3800000.0,3700000.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 11  a 50  personas,"Bash/Shell, CSS, HTML, Javascript, Python, SQL, TypeScript",4,"No, estoy muy conforme.",Bash/Shell,3-5 años
Buenos Aires,Full-Time,Contractor,4600000.0,3796000.0,True,Senior,Developer,9,100% remoto,Mujer Cis,De 201 a 500 personas,Go,2,"No, pero escucho ofertas.",Go,6-10 años
Buenos Aires,Full-Time,Contractor,6964610.0,,True,Senior,Data Governance / GRC,8,100% remoto,Mujer Cis,De 101 a 200 personas,SQL,3,"No, pero escucho ofertas.",SQL,6-10 años
Santa Fe,Full-Time,Contractor,2000000.0,2000000.0,True,Semi-Senior,QA / Tester,3,100% remoto,Hombre Cis,De 51 a 100 personas,".NET, Javascript",3,"No, pero escucho ofertas.",.NET,3-5 años
Córdoba,Part-Time,Freelance,820000.0,800000.0,True,Junior,AI / Prompt / Chatbots,0,100% remoto,Hombre Cis,De 2 a 10 personas,SQL,1,"No, pero escucho ofertas.",SQL,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),1120000.0,980000.0,True,Senior,Developer,20,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript, SQL, TypeScript",1,"Sí, estoy buscando activamente.",CSS,10+ años
Entre Ríos,Full-Time,Staff (planta permanente),2370000.0,2000000.0,True,Semi-Senior,BI Analyst / Data Analyst,4,100% remoto,Hombre Cis,De 201 a 500 personas,"HTML, Python, SQL, Qlik, Powerbi",2,"Sí, estoy buscando activamente.",HTML,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),7067000.0,5445000.0,True,Senior,SysAdmin / DevOps / SRE,12,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,"Bash/Shell, Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3668491.0,3078680.0,True,Semi-Senior,Developer,5,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"HTML, Java, Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",HTML,3-5 años
Córdoba,Full-Time,Staff (planta permanente),3600000.0,2800000.0,True,Senior,SysAdmin / DevOps / SRE,22,100% remoto,Hombre Cis,De 2001a 5000 personas,"Bash/Shell, Python",1,"No, pero escucho ofertas.",Bash/Shell,10+ años
Córdoba,Full-Time,Staff (planta permanente),5000000.0,,True,Senior,Developer,20,100% remoto,Hombre Cis,De 201 a 500 personas,"HTML, Javascript, TypeScript",2,"No, pero escucho ofertas.",HTML,10+ años
Mendoza,Full-Time,Contractor,5240000.0,5240000.0,True,Senior,QA / Tester,8,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript, SQL, TypeScript",3,"No, estoy muy conforme.",CSS,6-10 años
Río Negro,Full-Time,Staff (planta permanente),3124906.0,2402823.0,True,Semi-Senior,Data Engineer,4,100% remoto,Hombre Cis,Más de 10000 personas,"Python, SQL",2,"No, pero escucho ofertas.",Python,3-5 años
Córdoba,Full-Time,Staff (planta permanente),3440000.0,2300000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,Más de 10000 personas,"Java, Javascript, TypeScript",3,"No, pero escucho ofertas.",Java,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,10500000.0,10500000.0,True,Senior,Manager / Director,15,100% remoto,Hombre Cis,De 201 a 500 personas,"Javascript, TypeScript",3,"No, pero escucho ofertas.",Javascript,10+ años
La Rioja,Full-Time,Staff (planta permanente),2950000.0,2700000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,4,100% remoto,Hombre Cis,De 11  a 50  personas,"Bash/Shell, Go, PHP, Python, TypeScript",2,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Buenos Aires,Full-Time,Contractor,4800000.0,,True,Semi-Senior,SysAdmin / DevOps / SRE,4,100% remoto,Hombre Cis,De 501 a 1000 personas,"Bash/Shell, Python",3,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,3470000.0,True,Senior,Developer,25,100% remoto,Hombre Cis,De 201 a 500 personas,"C++, Delphi",3,"No, pero escucho ofertas.",C++,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,8000000.0,8000000.0,True,Senior,SysAdmin / DevOps / SRE,28,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, Python",4,"No, estoy muy conforme.",Bash/Shell,10+ años
Córdoba,Full-Time,Contractor,3812000.0,,True,Senior,HRBP Lead,15,100% remoto,Hombre Cis,De 501 a 1000 personas,Ninguno de los anteriores,3,"No, estoy muy conforme.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),7000000.0,5500000.0,True,Senior,Technical Leader,19,100% presencial,Hombre Cis,De 2 a 10 personas,".NET, Bash/Shell, C#, CSS, HTML, Javascript, Python, SQL, TypeScript",4,"No, pero escucho ofertas.",.NET,10+ años
Buenos Aires,Full-Time,Freelance,2000000.0,2000000.0,True,Senior,Developer,10,100% remoto,Hombre Cis,1 (solamente yo),"CSS, HTML, Javascript, PHP",2,"Sí, estoy buscando activamente.",CSS,6-10 años
Neuquén,Full-Time,Staff (planta permanente),3463000.0,3150000.0,True,Senior,Developer,15,100% remoto,Prefiero no decir,De 201 a 500 personas,"CSS, HTML, Javascript, TypeScript",2,"No, pero escucho ofertas.",CSS,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,3000000.0,True,Senior,Business Analyst,8,100% remoto,Hombre Cis,De 2001a 5000 personas,Ninguno de los anteriores,3,"No, estoy muy conforme.",Ninguno de los anteriores,6-10 años
Entre Ríos,Full-Time,Staff (planta permanente),1882164.0,1587197.0,True,Senior,SysAdmin / DevOps / SRE,7,100% remoto,Hombre Cis,De 5001 a 10000 personas,Python,2,"Sí, estoy buscando activamente.",Python,6-10 años
Tierra del Fuego,Part-Time,Contractor,2300000.0,2300000.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 1001 a 2000 personas,Javascript,3,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),10500000.0,9000000.0,True,Senior,Data Scientist,15,100% remoto,Prefiero no decir,De 11  a 50  personas,"HTML, Javascript, Python, SQL, TypeScript",4,"No, pero escucho ofertas.",HTML,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),3056135.0,2450970.0,True,Senior,Developer,10,100% remoto,Hombre Cis,Más de 10000 personas,"HTML, Javascript, TypeScript",2,"No, pero escucho ofertas.",HTML,6-10 años
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3300000.0,2600000.0,True,Semi-Senior,Developer,5,100% remoto,Mujer Cis,De 11  a 50  personas,Python,4,"No, pero escucho ofertas.",Python,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),12943000.0,12943000.0,True,Senior,Technical Leader,20,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, Java, Python, SQL, TypeScript",3,"No, estoy muy conforme.",Bash/Shell,10+ años
Córdoba,Full-Time,Staff (planta permanente),9781395.88,8638338.2,True,Semi-Senior,QA / Tester,3,100% remoto,No binarie,De 1001 a 2000 personas,"Go, HTML, Java, Javascript, Python",4,"No, estoy muy conforme.",Go,3-5 años
Buenos Aires,Full-Time,Contractor,4000000.0,4000000.0,True,Semi-Senior,Manager / Director,4,100% remoto,Hombre Cis,De 501 a 1000 personas,"PHP, Python, SQL, TypeScript",2,"Sí, estoy buscando activamente.",PHP,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2250000.0,2000000.0,True,Junior,Data Engineer,1,100% remoto,Mujer Cis,De 51 a 100 personas,"HTML, Python",3,"No, pero escucho ofertas.",HTML,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6735289.66,6100984.0,True,Senior,Designer,21,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript",3,"No, pero escucho ofertas.",CSS,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3825000.0,3810000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,5,100% remoto,Hombre Cis,De 11  a 50  personas,"Go, Javascript, SQL, Swift, TypeScript",4,"No, estoy muy conforme.",Go,3-5 años
Córdoba,Full-Time,Staff (planta permanente),8200000.0,7200000.0,True,Semi-Senior,Technical Leader,4,100% remoto,Hombre Cis,De 51 a 100 personas,"HTML, Javascript, Python, SQL, TypeScript",4,"No, pero escucho ofertas.",HTML,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,3500000.0,True,Senior,Developer,10,100% remoto,Hombre Cis,De 51 a 100 personas,"C++, Go, Java, Javascript",3,"No, estoy muy conforme.",C++,6-10 años
Buenos Aires,Full-Time,Contractor,11000000.0,11000000.0,True,Senior,SysAdmin / DevOps / SRE,15,100% remoto,Hombre Cis,De 101 a 200 personas,"Bash/Shell, Javascript, Python, Rust",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Córdoba,Full-Time,Staff (planta permanente),1600000.0,1600000.0,True,Senior,SysAdmin / DevOps / SRE,7,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,Bash/Shell,3,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Buenos Aires,Full-Time,Contractor,6750000.0,6750000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 51 a 100 personas,"Javascript, Kotlin, Swift, TypeScript",4,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6934413.0,5150000.0,True,Senior,Developer,7,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"Java, Javascript, Kotlin, Python, SQL, TypeScript",4,"No, estoy muy conforme.",Java,6-10 años
Buenos Aires,Full-Time,Contractor,2992500.0,2522725.0,True,Junior,Developer,2,Híbrido (presencial y remoto),Mujer Cis,De 5001 a 10000 personas,"Go, HTML, SQL",2,"No, pero escucho ofertas.",Go,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4317811.0,3428192.0,True,Senior,Developer,6,Híbrido (presencial y remoto),Mujer Cis,De 5001 a 10000 personas,"Java, Javascript, SQL, TypeScript",4,"No, estoy muy conforme.",Java,6-10 años
Buenos Aires,Full-Time,Contractor,2400000.0,2550000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 201 a 500 personas,Swift,3,"No, pero escucho ofertas.",Swift,3-5 años
Buenos Aires,Full-Time,Contractor,3500000.0,3500000.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 11  a 50  personas,"CSS, HTML, Javascript, TypeScript",3,"No, pero escucho ofertas.",CSS,3-5 años
Buenos Aires,Part-Time,Freelance,1000000.0,800000.0,True,Junior,DBA,0,100% remoto,Mujer Cis,1 (solamente yo),Ninguno de los anteriores,2,"Sí, estoy buscando activamente.",Ninguno de los anteriores,0-2 años
Córdoba,Full-Time,Staff (planta permanente),8107993.0,6708813.0,True,Senior,SysAdmin / DevOps / SRE,29,100% remoto,Hombre Cis,De 101 a 200 personas,"Bash/Shell, Go, HTML, Java, Javascript, Python, Solidity, SQL",4,"No, estoy muy conforme.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3646400.0,3249960.0,True,Senior,Business Analyst,18,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Corrientes,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3255000.0,3180000.0,True,Senior,UX/UI Designer,7,100% remoto,Hombre Cis,De 201 a 500 personas,HTML,2,"Sí, estoy buscando activamente.",HTML,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1950000.0,1450000.0,True,Senior,Consultant,19,Híbrido (presencial y remoto),Hombre Cis,De 5001 a 10000 personas,"Python, SQL",2,"Sí, estoy buscando activamente.",Python,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,11840000.0,11840000.0,True,Senior,Developer,7,100% remoto,Hombre Cis,De 11  a 50  personas,"Kotlin, SQL, TypeScript",4,"No, pero escucho ofertas.",Kotlin,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,2800000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,5,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Bash/Shell, HTML, Java, PHP, Python",2,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,2700000.0,True,Senior,Business Analyst,10,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"PHP, SQL",2,"No, pero escucho ofertas.",PHP,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6196702.0,3772166.0,True,Senior,Developer,7,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"Bash/Shell, Java, Kotlin",3,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4043305.0,3841139.0,True,Senior,Developer,20,100% remoto,Hombre Cis,De 11  a 50  personas,"CSS, HTML, Javascript",3,"No, pero escucho ofertas.",CSS,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),900000.0,868000.0,True,Semi-Senior,Developer,3,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"CSS, HTML, Java, Javascript, SQL, TypeScript",1,"Sí, estoy buscando activamente.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,1800000.0,True,Junior,Developer,0,Híbrido (presencial y remoto),Trans,De 201 a 500 personas,"Javascript, TypeScript",3,"No, estoy muy conforme.",Javascript,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),12298000.0,,True,Senior,DBA,25,100% remoto,Hombre Cis,De 201 a 500 personas,"Bash/Shell, Groovy, HTML, PHP, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4300000.0,4000000.0,True,Senior,Data Engineer,9,100% remoto,Hombre Cis,De 2001a 5000 personas,"Bash/Shell, Java, Javascript, Kotlin, SQL, TypeScript",1,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2100000.0,2100000.0,True,Junior,HelpDesk,2,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript",3,"No, pero escucho ofertas.",CSS,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5624750.0,3845970.0,True,Senior,Architect,7,100% remoto,No binarie,De 51 a 100 personas,"CSS, Go, HTML, Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,9500000.0,,True,Senior,SysAdmin / DevOps / SRE,20,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, Javascript, Python",4,"No, pero escucho ofertas.",Bash/Shell,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),12000000.0,8000000.0,True,Senior,Technical Leader,13,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"ABAP, Assembler, C, C++, COBOL, Go, Matlab, PHP, Python, R, Ruby, Rust, Scala, SQL, TypeScript, VBA",3,"Sí, estoy buscando activamente.",ABAP,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3500000.0,3200000.0,True,Semi-Senior,Designer,3,100% remoto,Mujer Cis,De 11  a 50  personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),5200000.0,4800000.0,True,Senior,SysAdmin / DevOps / SRE,11,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Bash/Shell, Go, Python",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Buenos Aires,Full-Time,Freelance,1421000.0,1364390.0,True,Junior,Developer,2,100% remoto,Hombre Cis,De 2 a 10 personas,"CSS, HTML, Javascript, PHP, Python, Swift, TypeScript",3,"No, pero escucho ofertas.",CSS,0-2 años
Buenos Aires,Full-Time,Contractor,3900000.0,,True,Senior,QA / Tester,10,100% remoto,Hombre Cis,De 51 a 100 personas,Ninguno de los anteriores,3,"No, estoy muy conforme.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3400000.0,2719000.0,True,Senior,SysAdmin / DevOps / SRE,20,100% remoto,Hombre Cis,Más de 10000 personas,"Arduino, Bash/Shell, C, C#, COBOL, HTML, Python, SQL",2,"No, pero escucho ofertas.",Arduino,10+ años
Buenos Aires,Full-Time,Contractor,1628000.0,1628000.0,True,Semi-Senior,HelpDesk,3,100% remoto,Hombre Cis,De 501 a 1000 personas,Javascript,2,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,760000.0,,True,Junior,Recruiter,1,100% remoto,Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,2,"Sí, estoy buscando activamente.",Ninguno de los anteriores,0-2 años
Córdoba,Full-Time,Staff (planta permanente),3076700.0,2620000.0,True,Senior,Developer,10,100% remoto,Hombre Cis,De 11  a 50  personas,"CSS, HTML, Javascript, PHP, TypeScript",2,"No, pero escucho ofertas.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6200000.0,5600000.0,True,Senior,Architect,14,100% remoto,Hombre Cis,De 5001 a 10000 personas,".NET, Bash/Shell, C, C++, C#, CSS, Dart, Go, Elixir, HTML, Java, Javascript, Python, SQL, TypeScript",4,"No, estoy muy conforme.",.NET,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),4598456.0,3626259.0,True,Senior,Developer,12,100% remoto,Mujer Cis,De 5001 a 10000 personas,"HTML, Javascript",3,"No, pero escucho ofertas.",HTML,10+ años
Santa Fe,Full-Time,Contractor,3000000.0,2500000.0,True,Semi-Senior,Data Engineer,4,100% remoto,Hombre Cis,De 51 a 100 personas,"Go, Python, R, SQL",2,"No, pero escucho ofertas.",Go,3-5 años
Río Negro,Full-Time,Contractor,10000000.0,8000000.0,True,Senior,Developer,15,100% remoto,Hombre Cis,De 501 a 1000 personas,"Javascript, TypeScript",4,"No, pero escucho ofertas.",Javascript,10+ años
Córdoba,Full-Time,Staff (planta permanente),4840000.0,4340000.0,True,Senior,Developer,8,100% remoto,Queer,De 5001 a 10000 personas,"Bash/Shell, CSS, Java, Javascript, SQL, TypeScript",3,"Sí, estoy buscando activamente.",Bash/Shell,6-10 años
Misiones,Part-Time,Contractor,600000.0,530000.0,True,Senior,Product Owner,15,100% remoto,Hombre Cis,De 2 a 10 personas,"Bash/Shell, CSS, HTML, Python, R, SQL, TypeScript",1,"Sí, estoy buscando activamente.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,12460000.0,11000000.0,True,Senior,Developer,16,100% remoto,Hombre Cis,De 501 a 1000 personas,"Bash/Shell, Go, Python",4,"No, estoy muy conforme.",Bash/Shell,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,7200000.0,,True,Senior,Developer,12,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript, TypeScript",3,"No, pero escucho ofertas.",CSS,10+ años
Buenos Aires,Full-Time,Contractor,3500000.0,,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 2 a 10 personas,"HTML, Javascript, PHP, TypeScript",2,"No, pero escucho ofertas.",HTML,3-5 años
Buenos Aires,Full-Time,Contractor,3750000.0,3675000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 2 a 10 personas,"Javascript, Python, SQL, TypeScript",2,"No, pero escucho ofertas.",Javascript,3-5 años
Buenos Aires,Full-Time,Contractor,5000000.0,5000000.0,True,Senior,Manager / Director,9,100% remoto,Mujer Cis,De 201 a 500 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Buenos Aires,Full-Time,Contractor,5510000.0,5200000.0,True,Senior,Developer,10,100% remoto,Hombre Cis,De 201 a 500 personas,"C#, Python, TypeScript",3,"No, pero escucho ofertas.",C#,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000.0,1600000.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript, TypeScript",3,"No, pero escucho ofertas.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,1800000.0,True,Senior,SysAdmin / DevOps / SRE,7,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,SQL,2,"No, pero escucho ofertas.",SQL,6-10 años
Córdoba,Part-Time,Staff (planta permanente),3100000.0,3050000.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 11  a 50  personas,"Bash/Shell, Javascript, Python",3,"No, estoy muy conforme.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2200000.0,2100000.0,True,Semi-Senior,Developer,3,100% remoto,Mujer Cis,De 11  a 50  personas,"Dart, SQL",3,"No, pero escucho ofertas.",Dart,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7050000.0,6500000.0,True,Senior,Developer,6,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,Java,4,"No, estoy muy conforme.",Java,6-10 años
Córdoba,Full-Time,Staff (planta permanente),1600000.0,1300000.0,True,Semi-Senior,Developer,4,100% remoto,Mujer Cis,De 2001a 5000 personas,"HTML, Java, Javascript, Python",3,"No, estoy muy conforme.",HTML,3-5 años
Tucumán,Full-Time,Staff (planta permanente),2300000.0,1885000.0,True,Semi-Senior,QA / Tester,5,100% remoto,Hombre Cis,De 2001a 5000 personas,"Java, Python, TypeScript",3,"No, pero escucho ofertas.",Java,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2800000.0,,True,Semi-Senior,HelpDesk,3,100% remoto,Hombre Cis,De 11  a 50  personas,Ninguno de los anteriores,2,"Sí, estoy buscando activamente.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000.0,4900000.0,True,Senior,Developer,11,100% remoto,Hombre Cis,De 201 a 500 personas,"CSS, HTML, Javascript, TypeScript",4,"No, pero escucho ofertas.",CSS,10+ años
Córdoba,Full-Time,Staff (planta permanente),1200000.0,910000.0,True,Semi-Senior,QA / Tester,3,Híbrido (presencial y remoto),Mujer Cis,De 201 a 500 personas,SQL,1,"Sí, estoy buscando activamente.",SQL,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4278152.0,3899767.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 101 a 200 personas,Python,4,"No, pero escucho ofertas.",Python,3-5 años
Tucumán,Full-Time,Contractor,3900000.0,3800000.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 201 a 500 personas,"Java, Javascript, Apex",3,"No, pero escucho ofertas.",Java,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,4490000.0,4390000.0,True,Senior,SysAdmin / DevOps / SRE,26,100% remoto,Hombre Cis,De 101 a 200 personas,"Bash/Shell, Delphi, PHP, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),2550000.0,2250000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 2 a 10 personas,"Javascript, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",Javascript,3-5 años
Córdoba,Full-Time,Staff (planta permanente),6498100.0,4947503.0,True,Senior,Technical Leader,15,100% remoto,Hombre Cis,Más de 10000 personas,"C, C++",2,"No, pero escucho ofertas.",C,10+ años
