date,Hombre Cis,Mujer Cis,Otros,Prefiero no decir
2020-02-02,0.854,0.142,0.004,
2020-08-15,0.845,0.15,0.005,
2021-02-15,0.793,0.15,0.009,0.049
2021-08-23,0.773,0.163,0.022,0.042
2022-02-21,0.774,0.153,0.027,0.047
2023-01-07,0.77,0.157,0.029,0.044
2023-07-11,0.753,0.173,0.03,0.043
2024-06-24,0.798,0.189,0.007,0.006
2025-02-04,0.785,0.198,0.008,0.008
2025-08-08,0.783,0.2,0.008,0.009
2026-03-04,0.781,0.2,0.008,0.011
